service,img,tit,link,item
生活資訊,category2_news,新聞,index.html,1
生活資訊,category2_1dollar,一元搶購,offers/offers_one.html,2
娛樂放鬆,category2_games,遊戲,game/game.html,3
生活資訊,category2_thunder,彩蛋,index.html,4
饗食達人,category2_sushi,壽司,index.html,
饗食達人,category2_coffee,咖啡,index.html,6
饗食達人,category2_tea,茶藝,index.html,
饗食達人,category2_orgaic,有機,index.html,
饗食達人,category2_a5,和牛,index.html,5
饗食達人,category2_agriculture,神農獎,index.html,
美麗生活,category2_fasion,時尚精品,index.html,9
美麗生活,category2_makeups,美妝,index.html,
美麗生活,category2_haircut,美髮,index.html,
美麗生活,category2_nail,美甲,index.html,7
美麗生活,category2_cosmetology,醫美,index.html,
美麗生活,category2_feet,足療,index.html,
美麗生活,category2_spa,SPA,index.html,
美麗生活,category2_femaleshoes,女鞋,index.html,8
美麗生活,category2_femalebag,女包,index.html,
美麗生活,category2_car,汽車百貨,index.html,
